City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,belle chasse,29.8549,-89.9906,31.99,72,40,4.12,US,1691635856
1,bubaque,11.2833,-15.8333,26.28,83,100,0.94,GW,1691635856
2,bilibino,68.0546,166.4372,16.84,42,96,3.57,RU,1691635856
3,bodaybo,57.8506,114.1933,25.19,55,100,1.17,RU,1691635857
4,tiksi,71.6872,128.8694,21.07,39,29,2.46,RU,1691635857
5,geraldton,-28.7667,114.6,16.23,77,100,3.6,AU,1691635610
6,chaman,30.9236,66.4512,29.64,12,0,2.64,PK,1691635858
7,nantucket,41.2835,-70.0995,24.03,71,0,5.66,US,1691635858
8,tual,-5.6667,132.75,25.73,80,74,9.39,ID,1691635859
9,broome,42.2506,-75.833,19.23,93,95,1.12,US,1691635859
10,salalah,17.0151,54.0924,26.05,94,100,3.6,OM,1691635859
11,buulobarde,3.8538,45.5674,22.16,89,65,6.79,SO,1691635860
12,ilulissat,69.2167,-51.1,6.01,93,100,2.06,GL,1691635860
13,zabol,32.25,67.25,26.9,13,0,3.5,AF,1691635861
14,wanxian,30.8039,108.3897,33.05,67,0,2.18,CN,1691635861
15,hadibu,12.65,54.0333,25.6,81,100,9.3,YE,1691635861
16,callao,-12.0667,-77.15,21.16,73,100,5.14,PE,1691635862
17,hermanus,-34.4187,19.2345,12.11,72,0,3.72,ZA,1691635862
18,adamstown,-25.066,-130.1015,19.33,56,84,9.81,PN,1691635863
19,alofi,-19.0595,-169.9187,27.94,74,40,2.57,NU,1691635863
20,mermoz boabab,14.7065,-17.4758,26.88,74,40,2.06,SN,1691635863
21,doka,13.5167,35.7667,21.33,95,53,3.86,SD,1691635863
22,ornskoldsvik,63.2909,18.7153,11.53,100,40,1.54,SE,1691635864
23,ushuaia,-54.8,-68.3,4.81,70,40,1.03,AR,1691635800
24,baukau,51.5526,7.2042,14.11,79,9,3.58,DE,1691635864
25,port lincoln,-34.7333,135.8667,14.79,56,33,4.5,AU,1691635865
26,arraial do cabo,-22.9661,-42.0278,20.87,86,36,8.35,BR,1691635865
27,guerrero negro,27.9769,-114.0611,21.9,85,2,7.35,MX,1691635865
28,papatowai,-46.5619,169.4708,5.56,74,52,3.35,NZ,1691635866
29,lebu,-37.6167,-73.65,11.3,88,43,5.95,CL,1691635866
30,albany,42.6001,-73.9662,19.89,82,32,0.45,US,1691635583
31,weno,7.4515,151.8468,28.43,73,92,3.3,FM,1691635867
32,yellowknife,62.456,-114.3525,21.29,43,75,3.6,CA,1691635408
33,kaa-khem,51.6833,94.7333,21.07,58,61,2.08,RU,1691635867
34,douglas,41.3,-96.167,23.66,83,0,0.0,US,1691635867
35,kapa'a,22.0752,-159.319,31.99,75,100,9.26,US,1691635868
36,stanley,54.868,-1.6985,16.55,92,40,1.03,GB,1691635868
37,al jawf,29.5,38.75,27.03,27,0,3.67,SA,1691635868
38,brady,31.1352,-99.3351,36.41,23,0,5.14,US,1691635688
39,teyateyaneng,-29.1472,27.7489,5.02,78,0,1.35,LS,1691635869
40,kuanda,56.3161,116.0806,25.09,44,100,3.66,RU,1691635869
41,severo-yeniseyskiy,60.3725,93.0408,17.73,55,28,3.33,RU,1691635870
42,invercargill,-46.4,168.35,7.79,69,26,0.45,NZ,1691635870
43,tamanrasset,22.785,5.5228,27.95,28,71,5.14,DZ,1691635870
44,port-aux-francais,-49.35,70.2167,3.52,87,97,10.29,TF,1691635871
45,port elizabeth,-33.918,25.5701,13.16,94,0,3.09,ZA,1691635871
46,fale old settlement,-9.3852,-171.2468,28.06,78,31,6.58,TK,1691635871
47,keflavik,64.0049,-22.5624,12.24,71,0,2.57,IS,1691635871
48,hamilton,39.1834,-84.5333,23.06,89,75,3.6,US,1691635481
49,vorgashor,67.5833,63.95,12.49,69,67,5.08,RU,1691635872
50,waitangi,-43.9535,-176.5597,11.57,78,3,0.89,NZ,1691635872
51,uturoa,-16.7333,-151.4333,24.89,71,74,8.09,PF,1691635873
52,badger,64.8,-147.5333,21.95,75,75,3.09,US,1691635873
53,st. john's,47.5649,-52.7093,13.21,93,100,6.17,CA,1691635873
54,east london,-33.0153,27.9116,16.22,81,4,7.66,ZA,1691635874
55,blackmans bay,-43.0167,147.3167,16.07,58,85,4.17,AU,1691635874
56,tsiombe,-25.3,45.4833,18.04,91,20,3.45,MG,1691635874
57,hawaiian paradise park,19.5933,-154.9731,26.73,72,40,3.6,US,1691635875
58,saynshand,44.8824,110.1163,28.71,35,92,5.18,MN,1691635875
59,bethel,41.3712,-73.414,23.6,75,0,3.6,US,1691635742
60,west island,-12.1568,96.8225,26.99,74,40,6.17,CC,1691635876
61,nizhnyaya poyma,56.1622,97.1933,21.26,63,91,2.64,RU,1691635876
62,bay roberts,47.5999,-53.2648,13.41,93,100,2.68,CA,1691635876
63,general acha,-37.377,-64.6043,12.56,56,100,7.87,AR,1691635877
64,san patricio,28.017,-97.5169,30.4,80,0,8.58,US,1691635877
65,rawson,-43.3002,-65.1023,15.6,39,92,7.25,AR,1691635660
66,puerto cabezas,14.0351,-83.3888,27.06,88,99,3.14,NI,1691635878
67,solleftea,63.1667,17.2667,11.92,97,38,1.36,SE,1691635878
68,jamestown,42.097,-79.2353,20.95,77,0,1.54,US,1691635868
69,rabo de peixe,37.8,-25.5833,22.73,94,75,5.14,PT,1691635879
70,enewetak,11.3474,162.3373,28.77,75,68,6.52,MH,1691635879
71,puerto natales,-51.7236,-72.4875,2.21,94,84,1.61,CL,1691635880
72,port mathurin,-19.6833,63.4167,22.32,75,7,5.67,MU,1691635880
73,kingston,17.997,-76.7936,30.53,88,75,4.63,JM,1691635594
74,buala,-8.145,159.5921,26.65,85,97,6.04,SB,1691635881
75,dudinka,69.4058,86.1778,14.79,60,100,9.92,RU,1691635881
76,nouadhibou,20.931,-17.0347,20.99,94,40,8.23,MR,1691635881
77,kununurra,-15.7667,128.7333,29.99,26,49,4.12,AU,1691635786
78,whitehorse,60.7161,-135.0538,21.17,40,75,3.09,CA,1691635697
79,olonkinbyen,70.9221,-8.7187,6.49,100,100,3.2,SJ,1691635882
80,kerikeri,-35.2268,173.9474,14.39,81,22,0.89,NZ,1691635883
81,taltal,-25.4,-70.4833,18.36,63,63,1.07,CL,1691635883
82,utrik,11.2278,169.8474,28.29,71,58,5.36,MH,1691635883
83,sutherlin,43.3901,-123.3126,29.0,37,66,3.09,US,1691635884
84,nadym,65.5333,72.5167,9.31,73,100,10.98,RU,1691635884
85,ambovombe,-25.1667,46.0833,18.77,87,13,4.46,MG,1691635885
86,pisco,-13.7,-76.2167,19.03,77,20,6.17,PE,1691635885
87,grytviken,-54.2811,-36.5092,-5.04,93,94,1.92,GS,1691635885
88,atafu village,-8.5421,-172.5159,28.01,79,33,6.4,TK,1691635886
89,saudarkrokur,65.7461,-19.6394,5.76,85,67,4.64,IS,1691635886
90,ust'-kulom,61.6864,53.6902,17.11,62,4,1.66,RU,1691635886
91,caleta de carquin,-11.0925,-77.6267,18.96,84,20,4.88,PE,1691635887
92,la passe,45.5549,-0.8967,21.13,67,15,3.17,FR,1691635887
93,vadso,70.0744,29.7487,18.49,82,0,2.57,NO,1691635887
94,vilyuysk,63.7553,121.6247,24.79,34,0,4.6,RU,1691635888
95,ust-nera,64.5667,143.2,21.38,42,5,1.6,RU,1691635888
96,jaguaruna,-28.615,-49.0256,17.07,97,100,3.64,BR,1691635747
97,kill devil hills,36.0307,-75.676,26.66,82,0,2.06,US,1691635889
98,punta arenas,-53.15,-70.9167,3.95,93,100,3.56,CL,1691635889
99,south hedland,-20.4089,118.5983,27.96,28,2,4.12,AU,1691635889
100,kailua-kona,19.6406,-155.9956,29.98,68,40,4.12,US,1691635890
101,kargasok,59.0556,80.8572,10.9,94,100,5.39,RU,1691635890
102,barguzin,53.6167,109.6167,17.68,98,100,1.27,RU,1691635890
103,sokcho,38.2083,128.5911,21.34,100,100,7.72,KR,1691635891
104,freetown,8.484,-13.2299,24.84,88,75,6.17,SL,1691635891
105,mendez-nunez,14.1286,120.9058,28.37,71,76,4.82,PH,1691635891
106,abeche,13.8292,20.8324,23.27,88,100,1.48,TD,1691635891
107,marat,25.0701,45.4615,29.26,11,3,2.02,SA,1691635892
108,barcelos,41.5388,-8.6151,19.36,93,15,1.37,PT,1691635599
109,capinopolis,-18.6819,-49.5697,22.46,41,45,3.04,BR,1691635682
110,amvrosiyivka,47.7935,38.4777,22.01,60,100,5.35,UA,1691635893
111,constantia,44.1833,28.65,18.38,71,77,6.26,RO,1691635893
112,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,49,40,4.0,RU,1691635893
113,kodiak,57.79,-152.4072,12.73,88,100,2.57,US,1691635893
114,puerto ayora,-0.7393,-90.3518,24.19,92,46,2.24,EC,1691635863
115,winslow,35.0242,-110.6974,18.1,88,100,5.66,US,1691635894
116,fortuna foothills,32.6578,-114.4119,40.05,25,0,2.57,US,1691635894
117,kowon-up,39.4381,127.2431,22.36,94,100,2.54,KP,1691635895
118,tofol,5.3248,163.0078,28.25,78,58,4.26,FM,1691635895
119,mashhad,36.297,59.6062,24.08,43,0,2.06,IR,1691635803
120,horta,38.5333,-28.6333,21.12,86,87,2.24,PT,1691635895
121,murzuq,25.9155,13.9184,25.39,32,0,4.63,LY,1691635896
122,yuzhno-kurilsk,44.0306,145.8556,21.81,91,100,5.86,RU,1691635896
123,santa cruz,-17.8,-63.1667,23.7,73,0,3.6,BO,1691635798
124,happy valley-goose bay,53.3168,-60.3315,16.17,77,100,2.06,CA,1691635897
125,wabag,-5.4781,143.7021,21.81,53,30,2.39,PG,1691635897
126,neiafu,-18.65,-173.9833,28.38,69,20,1.03,TO,1691635897
127,ghanzi,-21.5667,21.7833,10.66,41,0,7.11,BW,1691635898
128,isafjordur,66.0755,-23.124,6.85,82,44,3.4,IS,1691635898
129,zwedru,6.0667,-8.1281,21.39,98,100,1.65,LR,1691635898
130,lompoc,34.6391,-120.4579,21.12,83,100,3.09,US,1691635899
131,aasiaat,68.7098,-52.8699,3.04,91,93,4.75,GL,1691635899
132,richfield,44.8833,-93.283,23.71,77,100,2.57,US,1691635892
133,holualoa,19.6228,-155.9522,27.91,68,40,4.12,US,1691635901
134,ta`u,-14.2336,-169.5144,27.33,79,35,5.41,AS,1691635902
135,guatrache,-37.6678,-63.5302,12.43,55,100,7.9,AR,1691635902
136,toliara,-23.35,43.6667,19.11,87,5,6.15,MG,1691635902
137,yarkovo,57.4028,67.0786,17.21,73,84,3.77,RU,1691635902
138,bannu,32.9854,70.6027,34.68,37,94,2.52,PK,1691635903
139,orsa,54.5153,30.4053,12.4,76,83,2.91,BY,1691635903
140,gebeit,21.0667,36.3167,28.76,21,1,0.18,SD,1691635903
141,mejit,10.2753,170.8646,27.99,70,84,4.95,MH,1691635904
142,talnakh,69.4865,88.3972,14.56,51,100,2.8,RU,1691635904
143,port blair,11.6667,92.75,29.02,84,40,4.12,IN,1691635904
144,thompson,55.7435,-97.8558,15.09,77,20,0.0,CA,1691635904
145,bredasdorp,-34.5322,20.0403,9.81,87,0,1.81,ZA,1691635905
146,kalmunai,7.4167,81.8167,28.63,69,100,2.24,LK,1691635905
147,puerto madryn,-42.7692,-65.0385,15.59,43,89,8.01,AR,1691635905
148,college,64.8569,-147.8028,21.99,72,75,3.09,US,1691635906
149,rongelap,11.1635,166.8941,28.39,75,13,4.67,MH,1691635906
150,chibougamau,49.9168,-74.3659,17.79,72,100,2.06,CA,1691635906
151,lachi,33.3833,71.3386,33.75,45,59,0.91,PK,1691635907
152,belyy yar,53.6039,91.3903,20.94,64,0,2.0,RU,1691635907
153,qaqortoq,60.7167,-46.0333,5.81,85,9,0.81,GL,1691635907
154,itoman,26.1247,127.6694,31.43,84,20,3.09,JP,1691635908
155,ribeira grande,38.5167,-28.7,21.54,86,88,2.24,PT,1691635908
156,kuching,1.55,110.3333,31.72,74,20,1.03,MY,1691635856
157,vernon,50.2581,-119.2691,26.2,36,31,1.54,CA,1691635909
158,tanumah,27.1,44.1333,30.27,11,0,4.83,SA,1691635909
159,nikolayevsk-on-amure,53.1406,140.73,22.16,47,61,2.71,RU,1691635909
160,iqaluit,63.7506,-68.5145,5.85,100,100,4.63,CA,1691635910
161,viqueque,-8.8673,126.3658,28.37,58,51,4.87,TL,1691635910
162,chengde,40.9725,117.9361,27.98,54,99,2.1,CN,1691635910
163,edinburgh of the seven seas,-37.0676,-12.3116,10.57,54,59,9.78,SH,1691635911
164,antsiranana,-12.2787,49.2917,19.63,85,0,2.05,MG,1691635911
165,nueva gerona,21.8833,-82.8,30.01,70,4,1.66,CU,1691635912
166,hithadhoo,-0.6,73.0833,27.25,75,67,2.26,MV,1691635912
167,bodo,67.28,14.405,16.36,64,0,7.2,NO,1691635912
168,urzhar,47.093,81.6294,27.2,38,0,3.04,KZ,1691635913
169,usogorsk,63.4106,48.6872,19.07,69,14,0.09,RU,1691635913
170,onokhoy,51.932,108.0747,20.86,86,100,3.18,RU,1691635913
171,darhan,49.4867,105.9228,23.58,72,86,2.23,MN,1691635914
172,gadzhiyevo,69.2551,33.3362,17.89,77,0,3.53,RU,1691635914
173,carnarvon,-24.8667,113.6333,23.44,54,2,2.95,AU,1691635818
174,montrose,38.4166,-108.2673,22.67,26,21,2.48,US,1691635687
175,al bawiti,28.3492,28.8659,23.98,62,0,2.81,EG,1691635915
176,udachny,66.4167,112.4,18.03,48,91,7.68,RU,1691635915
177,maragogi,-9.0122,-35.2225,23.45,78,7,4.19,BR,1691635916
178,dwarka,22.2394,68.9678,27.56,82,100,9.17,IN,1691635916
179,yen vinh,18.6667,105.6667,31.42,63,90,3.94,VN,1691635916
180,conceicao do araguaia,-8.2578,-49.2647,25.99,38,14,1.58,BR,1691635917
181,guiuan,11.0333,125.7247,29.02,75,92,4.77,PH,1691635917
182,loukhi,66.0764,33.0381,15.72,78,21,2.65,RU,1691635918
183,margaret river,-33.95,115.0667,11.91,79,100,1.99,AU,1691635408
184,vikhorevka,56.1201,101.1636,20.77,49,100,3.21,RU,1691635918
185,istgah-e rah ahan-e garmsar,35.2346,52.3094,28.88,25,0,2.19,IR,1691635635
186,wailua homesteads,22.0669,-159.378,31.24,75,100,9.26,US,1691635919
187,naze,28.3667,129.4833,28.51,78,21,5.49,JP,1691635879
188,vilyuchinsk,52.9306,158.4028,23.15,72,6,3.49,RU,1691635920
189,port hedland,-20.3167,118.5667,28.03,28,2,4.12,AU,1691635920
190,bardai,11.65,7.2333,20.81,95,99,3.91,NG,1691635920
191,pudozh,61.8099,36.5345,17.38,84,43,1.54,RU,1691635921
192,iskateley,67.6803,53.1512,13.55,75,0,2.75,RU,1691635921
193,manokwari,-0.8667,134.0833,27.49,77,100,2.6,ID,1691635759
194,lethem,3.3803,-59.7968,26.38,70,96,2.18,GY,1691635922
195,saint-philippe,-21.3585,55.7679,19.77,82,41,3.36,RE,1691635922
196,griffith,41.5284,-87.4237,22.25,89,40,2.57,US,1691635922
197,portland,45.5234,-122.6762,25.97,68,40,4.63,US,1691635484
198,stettler,52.3168,-112.7186,15.86,100,100,1.54,CA,1691635923
199,daru,-9.0763,143.2092,24.26,84,100,7.42,PG,1691635923
200,turpan,42.9333,89.1667,36.35,20,3,1.6,CN,1691635924
201,goundam,16.4145,-3.6708,33.05,42,99,6.41,ML,1691635924
202,ribeira brava,32.65,-17.0667,24.35,74,2,1.52,PT,1691635924
203,coahuayana de hidalgo,18.7,-103.6583,25.18,78,87,2.05,MX,1691635925
204,coquimbo,-29.9533,-71.3436,14.85,82,0,4.12,CL,1691635925
205,northam,51.0333,-4.2167,17.01,86,1,4.45,GB,1691635926
206,igarka,67.4667,86.5833,16.81,80,99,0.74,RU,1691635926
207,tolanaro,-25.0319,46.9987,19.04,94,40,2.06,MG,1691635926
208,mersa matruh,31.3525,27.2453,25.11,78,0,2.57,EG,1691635927
209,puerto baquerizo moreno,-0.9,-89.6,23.64,81,76,2.83,EC,1691635927
210,touros,-5.1989,-35.4608,23.62,84,53,5.87,BR,1691635928
211,mount gambier,-37.8333,140.7667,12.21,68,100,3.77,AU,1691635909
212,georgetown,5.4112,100.3354,26.96,87,40,1.54,MY,1691635783
213,avarua,-21.2078,-159.775,25.03,65,75,7.72,CK,1691635928
214,quitilipi,-26.8691,-60.2168,19.68,75,100,2.73,AR,1691635929
215,armacao de buzios,-22.7469,-41.8817,22.03,86,55,6.86,BR,1691635705
216,tarija,-21.5355,-64.7296,14.95,51,0,1.54,BO,1691635930
217,puerto lempira,15.2667,-83.7667,26.8,84,59,3.05,HN,1691635930
218,nova sintra,14.8667,-24.7167,22.73,73,76,7.03,CV,1691635930
219,abashiri,44.0213,144.2697,26.16,83,75,4.63,JP,1691635931
220,sake,-1.5736,29.045,16.41,75,20,0.31,CD,1691635931
221,dong ha,16.8163,107.1003,34.35,48,100,7.18,VN,1691635931
222,lihue,21.9789,-159.3672,31.58,68,100,9.26,US,1691635885
223,cooper's town,26.8667,-77.5167,29.91,76,99,4.36,BS,1691635932
224,jardim do serido,-6.5844,-36.7744,22.34,57,10,8.48,BR,1691635932
225,isangel,-19.55,169.2667,21.53,57,1,8.66,VU,1691635933
226,sao francisco,-15.9486,-44.8644,22.07,52,0,4.19,BR,1691635933
227,conception bay south,47.4999,-52.9981,13.08,94,100,8.58,CA,1691635769
228,smithers,54.7804,-127.1743,18.18,45,75,4.63,CA,1691635934
229,taro,-8.3862,115.28,22.0,51,44,1.72,ID,1691635934
230,pingxiang,27.6167,113.85,30.69,76,13,1.07,CN,1691635935
231,codrington,-38.2667,141.9667,12.28,73,100,6.41,AU,1691635935
232,afaahiti,-17.75,-149.2833,25.93,72,97,7.01,PF,1691635935
233,yueyang,29.3333,113.0919,31.76,60,6,3.12,CN,1691635818
234,flin flon,54.7682,-101.865,13.23,55,15,2.51,CA,1691635936
235,bowen,-20.0167,148.2333,22.0,60,29,7.1,AU,1691635936
236,salqin,36.1381,36.4532,24.04,88,1,2.35,SY,1691635936
237,bokoro,12.3807,17.0568,22.73,91,100,2.21,TD,1691635937
238,tadmur,34.5608,38.2805,25.97,56,0,3.07,SY,1691635937
239,garh maharaja,30.8339,71.9053,34.9,42,43,6.03,PK,1691635938
240,kielce,50.8703,20.6275,12.72,72,100,0.93,PL,1691635938
241,namdrik,5.5994,168.1028,28.48,70,100,2.74,MH,1691635938
